question,answer,instruction
What is the movie The Last Kumite about?,"The film titled 'The Last Kumite' was released on May 09, 2024. It falls under the genres of Action. The film was directed by Ross W. Clarkson and stars Mathis Landwehr, Kurt McKinney, Billy Blanks, Matthias Hues, Cynthia Rothrock, Michel Qissi, David Kurzhal, Monia Moula, Mike Derudder, Abdel Qissi. The lead actor is Mathis Landwehr. Plot summary: When Karate champion Michael Rivers wins the last tournament of his career, shady businessman Ron Hall offers him the opportunity to fight in an illegal Kumite in Bulgaria against the world's best martial artists.  When Michael declines, Hall has his daughter kidnapped and, in order to rescue her, Rivers is left with no choice but to compete in the deadly tournament. Arriving in Bulgaria, he finds out that he is not the only fighter whose loved one was taken. Rivers enlists the help of trainers Master Loren, and Julie Jackson but will it be enough for him to win the tournament and save his daughter's life?. It has received a rating of 7.081.",Answer the following question:
What is the plot of Autumn and the Black Jaguar?,"The plot of 'Autumn and the Black Jaguar' is about Grown up in the Amazon rainforest, Autumn lives with Hope, the cute baby jaguar she adopted. However, a circumstance forces Autumn to return to New York. Autumn goes back into the jungle to save Hope from grave danger..",Answer the following question:
Who are in the cast of Autumn and the Black Jaguar?,"The cast of 'Autumn and the Black Jaguar' includes Lumi Pollack, Emily Bett Rickards, Wayne Charles Baker, Paul Greene, Kelly Hope Taylor, Lucrezia Pini, Letitia Brookes, K.C. Coombs, Airam Camacho.",Answer the following question:
Who directed Autumn and the Black Jaguar?,'Autumn and the Black Jaguar' was directed by Gilles de Maistre.,Answer the following question:
What are the genres of Autumn and the Black Jaguar?,"The genres of 'Autumn and the Black Jaguar' are Adventure, Family.",Answer the following question:
Who is the lead actor in Autumn and the Black Jaguar?,The lead actor in 'Autumn and the Black Jaguar' is Lumi Pollack.,Answer the following question:
When was Autumn and the Black Jaguar released?,"'Autumn and the Black Jaguar' was released on February 01, 2024.",Answer the following question:
Who are the supporting actors in Autumn and the Black Jaguar?,"The supporting actors in 'Autumn and the Black Jaguar' are Emily Bett Rickards, Wayne Charles Baker, Paul Greene, Kelly Hope Taylor, Lucrezia Pini, Letitia Brookes, K.C. Coombs, Airam Camacho.",Answer the following question:
What is the rating of Autumn and the Black Jaguar?,The rating of 'Autumn and the Black Jaguar' is 5.554.,Answer the following question:
What is the movie Autumn and the Black Jaguar about?,"The film titled 'Autumn and the Black Jaguar' was released on February 01, 2024. It falls under the genres of Adventure, Family. The film was directed by Gilles de Maistre and stars Lumi Pollack, Emily Bett Rickards, Wayne Charles Baker, Paul Greene, Kelly Hope Taylor, Lucrezia Pini, Letitia Brookes, K.C. Coombs, Airam Camacho. The lead actor is Lumi Pollack. Plot summary: Grown up in the Amazon rainforest, Autumn lives with Hope, the cute baby jaguar she adopted. However, a circumstance forces Autumn to return to New York. Autumn goes back into the jungle to save Hope from grave danger.. It has received a rating of 5.554.",Answer the following question:
What is the plot of An Ideal Father?,"The plot of 'An Ideal Father' is about Michel, the jovial owner of the only cafe in a small Normandy town, sees his life turned upside down when his teenage daughter is murdered. The community has his back but soon rumor spreads and Michel is singled out. From the ideal father, he becomes the ideal culprit..",Answer the following question:
Who are in the cast of An Ideal Father?,"The cast of 'An Ideal Father' includes Laurent Gerra, Eddy Mitchell, Laure-Lucille Simon, Jerome Kircher, Tess Barthelemy, Berangere Bonvoisin, Denez Raoul, Alice Aliaga, Rufus.",Answer the following question:
Who directed An Ideal Father?,'An Ideal Father' was directed by Helene Fillieres.,Answer the following question:
What are the genres of An Ideal Father?,"The genres of 'An Ideal Father' are Drama, TV Movie.",Answer the following question:
Who is the lead actor in An Ideal Father?,The lead actor in 'An Ideal Father' is Laurent Gerra.,Answer the following question:
When was An Ideal Father released?,"'An Ideal Father' was released on April 21, 2024.",Answer the following question:
Who are the supporting actors in An Ideal Father?,"The supporting actors in 'An Ideal Father' are Eddy Mitchell, Laure-Lucille Simon, Jerome Kircher, Tess Barthelemy, Berangere Bonvoisin, Denez Raoul, Alice Aliaga, Rufus.",Answer the following question:
What is the rating of An Ideal Father?,The rating of 'An Ideal Father' is 6.4.,Answer the following question:
What is the movie An Ideal Father about?,"The film titled 'An Ideal Father' was released on April 21, 2024. It falls under the genres of Drama, TV Movie. The film was directed by Helene Fillieres and stars Laurent Gerra, Eddy Mitchell, Laure-Lucille Simon, Jerome Kircher, Tess Barthelemy, Berangere Bonvoisin, Denez Raoul, Alice Aliaga, Rufus. The lead actor is Laurent Gerra. Plot summary: Michel, the jovial owner of the only cafe in a small Normandy town, sees his life turned upside down when his teenage daughter is murdered. The community has his back but soon rumor spreads and Michel is singled out. From the ideal father, he becomes the ideal culprit.. It has received a rating of 6.4.",Answer the following question:
What is the plot of The Roundup: No Way Out?,"The plot of 'The Roundup: No Way Out' is about Detective Ma Seok-do changes his affiliation from the Geumcheon Police Station to the Metropolitan Investigation Team, in order to eradicate Japanese gangsters who enter Korea to commit heinous crimes..",Answer the following question:
Who are in the cast of The Roundup: No Way Out?,"The cast of 'The Roundup: No Way Out' includes Ma Dong-seok, Lee Jun-hyuk, Munetaka Aoki, Lee Beom-soo, Kim Min-jae, Lee Ji-hoon, Kim Do-gun, Go Gyu-pil, Jun Suk-ho, Jun Kunimura.",Answer the following question:
Who directed The Roundup: No Way Out?,'The Roundup: No Way Out' was directed by Lee Sang-yong.,Answer the following question:
What are the genres of The Roundup: No Way Out?,"The genres of 'The Roundup: No Way Out' are Action, Crime, Comedy, Thriller.",Answer the following question:
Who is the lead actor in The Roundup: No Way Out?,The lead actor in 'The Roundup: No Way Out' is Ma Dong-seok.,Answer the following question:
When was The Roundup: No Way Out released?,"'The Roundup: No Way Out' was released on May 31, 2023.",Answer the following question:
Who are the supporting actors in The Roundup: No Way Out?,"The supporting actors in 'The Roundup: No Way Out' are Lee Jun-hyuk, Munetaka Aoki, Lee Beom-soo, Kim Min-jae, Lee Ji-hoon, Kim Do-gun, Go Gyu-pil, Jun Suk-ho, Jun Kunimura.",Answer the following question:
What is the rating of The Roundup: No Way Out?,The rating of 'The Roundup: No Way Out' is 7.27.,Answer the following question:
What is the movie The Roundup: No Way Out about?,"The film titled 'The Roundup: No Way Out' was released on May 31, 2023. It falls under the genres of Action, Crime, Comedy, Thriller. The film was directed by Lee Sang-yong and stars Ma Dong-seok, Lee Jun-hyuk, Munetaka Aoki, Lee Beom-soo, Kim Min-jae, Lee Ji-hoon, Kim Do-gun, Go Gyu-pil, Jun Suk-ho, Jun Kunimura. The lead actor is Ma Dong-seok. Plot summary: Detective Ma Seok-do changes his affiliation from the Geumcheon Police Station to the Metropolitan Investigation Team, in order to eradicate Japanese gangsters who enter Korea to commit heinous crimes.. It has received a rating of 7.27.",Answer the following question:
What is the plot of The Inheritance?,"The plot of 'The Inheritance' is about Billionaire Charles Abernathy, on the eve of his 75th birthday, invites his four estranged children back home out of fear that tonight someone - or something - is coming to kill him. To ensure his family will help protect him from whatever's coming, Abernathy puts each of their inheritances on the line - they'll get nothing if he's found dead by dawn..",Answer the following question:
Who are in the cast of The Inheritance?,"The cast of 'The Inheritance' includes Bob Gunton, Peyton List, Briana Middleton, Rachel Nichols, Austin Stowell, David Walton, Reese Alexander, Keith Arbuthnot, Chris Wood.",Answer the following question:
Who directed The Inheritance?,'The Inheritance' was directed by Alejandro Brugues.,Answer the following question:
What are the genres of The Inheritance?,The genres of 'The Inheritance' are Horror.,Answer the following question:
Who is the lead actor in The Inheritance?,The lead actor in 'The Inheritance' is Bob Gunton.,Answer the following question:
When was The Inheritance released?,"'The Inheritance' was released on July 12, 2024.",Answer the following question:
Who are the supporting actors in The Inheritance?,"The supporting actors in 'The Inheritance' are Peyton List, Briana Middleton, Rachel Nichols, Austin Stowell, David Walton, Reese Alexander, Keith Arbuthnot, Chris Wood.",Answer the following question:
What is the rating of The Inheritance?,The rating of 'The Inheritance' is 5.5.,Answer the following question:
What is the movie The Inheritance about?,"The film titled 'The Inheritance' was released on July 12, 2024. It falls under the genres of Horror. The film was directed by Alejandro Brugues and stars Bob Gunton, Peyton List, Briana Middleton, Rachel Nichols, Austin Stowell, David Walton, Reese Alexander, Keith Arbuthnot, Chris Wood. The lead actor is Bob Gunton. Plot summary: Billionaire Charles Abernathy, on the eve of his 75th birthday, invites his four estranged children back home out of fear that tonight someone - or something - is coming to kill him. To ensure his family will help protect him from whatever's coming, Abernathy puts each of their inheritances on the line - they'll get nothing if he's found dead by dawn.. It has received a rating of 5.5.",Answer the following question:
What is the plot of The Fall Guy?,"The plot of 'The Fall Guy' is about Fresh off an almost career-ending accident, stuntman Colt Seavers has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job..",Answer the following question:
Who are in the cast of The Fall Guy?,"The cast of 'The Fall Guy' includes Ryan Gosling, Emily Blunt, Aaron Taylor-Johnson, Hannah Waddingham, Teresa Palmer, Stephanie Hsu, Winston Duke, Ben Knight, Matuse Paz, Adam Dunn.",Answer the following question:
Who directed The Fall Guy?,'The Fall Guy' was directed by David Leitch.,Answer the following question:
What are the genres of The Fall Guy?,"The genres of 'The Fall Guy' are Action, Comedy.",Answer the following question:
Who is the lead actor in The Fall Guy?,The lead actor in 'The Fall Guy' is Ryan Gosling.,Answer the following question:
When was The Fall Guy released?,"'The Fall Guy' was released on April 24, 2024.",Answer the following question:
Who are the supporting actors in The Fall Guy?,"The supporting actors in 'The Fall Guy' are Emily Blunt, Aaron Taylor-Johnson, Hannah Waddingham, Teresa Palmer, Stephanie Hsu, Winston Duke, Ben Knight, Matuse Paz, Adam Dunn.",Answer the following question:
What is the rating of The Fall Guy?,The rating of 'The Fall Guy' is 7.224.,Answer the following question:
What is the movie The Fall Guy about?,"The film titled 'The Fall Guy' was released on April 24, 2024. It falls under the genres of Action, Comedy. The film was directed by David Leitch and stars Ryan Gosling, Emily Blunt, Aaron Taylor-Johnson, Hannah Waddingham, Teresa Palmer, Stephanie Hsu, Winston Duke, Ben Knight, Matuse Paz, Adam Dunn. The lead actor is Ryan Gosling. Plot summary: Fresh off an almost career-ending accident, stuntman Colt Seavers has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job.. It has received a rating of 7.224.",Answer the following question:
What is the plot of IF?,The plot of 'IF' is about A young girl who goes through a difficult experience begins to see everyone's imaginary friends who have been left behind as their real-life friends have grown up..,Answer the following question:
Who are in the cast of IF?,"The cast of 'IF' includes Cailey Fleming, Ryan Reynolds, John Krasinski, Fiona Shaw, Steve Carell, Phoebe Waller-Bridge, Louis Gossett Jr., Alan Kim, Liza Colon-Zayas, Bobby Moynihan.",Answer the following question:
Who directed IF?,'IF' was directed by John Krasinski.,Answer the following question:
What are the genres of IF?,"The genres of 'IF' are Comedy, Fantasy, Family.",Answer the following question:
Who is the lead actor in IF?,The lead actor in 'IF' is Cailey Fleming.,Answer the following question:
When was IF released?,"'IF' was released on May 08, 2024.",Answer the following question:
Who are the supporting actors in IF?,"The supporting actors in 'IF' are Ryan Reynolds, John Krasinski, Fiona Shaw, Steve Carell, Phoebe Waller-Bridge, Louis Gossett Jr., Alan Kim, Liza Colon-Zayas, Bobby Moynihan.",Answer the following question:
What is the rating of IF?,The rating of 'IF' is 7.37.,Answer the following question:
What is the movie IF about?,"The film titled 'IF' was released on May 08, 2024. It falls under the genres of Comedy, Fantasy, Family. The film was directed by John Krasinski and stars Cailey Fleming, Ryan Reynolds, John Krasinski, Fiona Shaw, Steve Carell, Phoebe Waller-Bridge, Louis Gossett Jr., Alan Kim, Liza Colon-Zayas, Bobby Moynihan. The lead actor is Cailey Fleming. Plot summary: A young girl who goes through a difficult experience begins to see everyone's imaginary friends who have been left behind as their real-life friends have grown up.. It has received a rating of 7.37.",Answer the following question:
What is the plot of Justice League: Crisis on Infinite Earths Part Three?,"The plot of 'Justice League: Crisis on Infinite Earths Part Three' is about Now fully revealed as the ultimate threat to existence, the Anti-Monitor wages an unrelenting attack on the surviving Earths that struggle for survival in a pocket universe. One by one, these worlds and all their inhabitants are vaporized! On the planets that remain, even time itself is shattered, and heroes from the past join the Justice League and their rag-tag allies against the epitome of evil. But as they make their last stand, will the sacrifice of the superheroes be enough to save us all?.",Answer the following question:
Who are in the cast of Justice League: Crisis on Infinite Earths Part Three?,"The cast of 'Justice League: Crisis on Infinite Earths Part Three' includes Jensen Ackles, Darren Criss, Corey Stoll, Gideon Adlon, Ike Amadi, Geoffrey Arend, Troy Baker, Brian Bloom, Matt Bomer, Ashly Burch.",Answer the following question:
Who directed Justice League: Crisis on Infinite Earths Part Three?,'Justice League: Crisis on Infinite Earths Part Three' was directed by Jeff Wamester.,Answer the following question:
What are the genres of Justice League: Crisis on Infinite Earths Part Three?,"The genres of 'Justice League: Crisis on Infinite Earths Part Three' are Animation, Science Fiction, Action.",Answer the following question:
Who is the lead actor in Justice League: Crisis on Infinite Earths Part Three?,The lead actor in 'Justice League: Crisis on Infinite Earths Part Three' is Jensen Ackles.,Answer the following question:
When was Justice League: Crisis on Infinite Earths Part Three released?,"'Justice League: Crisis on Infinite Earths Part Three' was released on July 16, 2024.",Answer the following question:
Who are the supporting actors in Justice League: Crisis on Infinite Earths Part Three?,"The supporting actors in 'Justice League: Crisis on Infinite Earths Part Three' are Darren Criss, Corey Stoll, Gideon Adlon, Ike Amadi, Geoffrey Arend, Troy Baker, Brian Bloom, Matt Bomer, Ashly Burch.",Answer the following question:
What is the rating of Justice League: Crisis on Infinite Earths Part Three?,The rating of 'Justice League: Crisis on Infinite Earths Part Three' is 7.605.,Answer the following question:
What is the movie Justice League: Crisis on Infinite Earths Part Three about?,"The film titled 'Justice League: Crisis on Infinite Earths Part Three' was released on July 16, 2024. It falls under the genres of Animation, Science Fiction, Action. The film was directed by Jeff Wamester and stars Jensen Ackles, Darren Criss, Corey Stoll, Gideon Adlon, Ike Amadi, Geoffrey Arend, Troy Baker, Brian Bloom, Matt Bomer, Ashly Burch. The lead actor is Jensen Ackles. Plot summary: Now fully revealed as the ultimate threat to existence, the Anti-Monitor wages an unrelenting attack on the surviving Earths that struggle for survival in a pocket universe. One by one, these worlds and all their inhabitants are vaporized! On the planets that remain, even time itself is shattered, and heroes from the past join the Justice League and their rag-tag allies against the epitome of evil. But as they make their last stand, will the sacrifice of the superheroes be enough to save us all?. It has received a rating of 7.605.",Answer the following question:
What is the plot of xXx?,"The plot of 'xXx' is about Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi..",Answer the following question:
Who are in the cast of xXx?,"The cast of 'xXx' includes Vin Diesel, Asia Argento, Marton Csokas, Samuel L. Jackson, Michael Roof, Richy Muller, Werner Daehn, Petr Jakl, Jan Filipensky, Tom Everett.",Answer the following question:
Who directed xXx?,'xXx' was directed by Rob Cohen.,Answer the following question:
What are the genres of xXx?,"The genres of 'xXx' are Action, Adventure, Thriller, Crime.",Answer the following question:
Who is the lead actor in xXx?,The lead actor in 'xXx' is Vin Diesel.,Answer the following question:
When was xXx released?,"'xXx' was released on August 09, 2002.",Answer the following question:
Who are the supporting actors in xXx?,"The supporting actors in 'xXx' are Asia Argento, Marton Csokas, Samuel L. Jackson, Michael Roof, Richy Muller, Werner Daehn, Petr Jakl, Jan Filipensky, Tom Everett.",Answer the following question:
What is the rating of xXx?,The rating of 'xXx' is 5.9.,Answer the following question:
What is the movie xXx about?,"The film titled 'xXx' was released on August 09, 2002. It falls under the genres of Action, Adventure, Thriller, Crime. The film was directed by Rob Cohen and stars Vin Diesel, Asia Argento, Marton Csokas, Samuel L. Jackson, Michael Roof, Richy Muller, Werner Daehn, Petr Jakl, Jan Filipensky, Tom Everett. The lead actor is Vin Diesel. Plot summary: Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.. It has received a rating of 5.9.",Answer the following question:
What is the plot of The Watchers?,"The plot of 'The Watchers' is about A young artist gets stranded in an extensive, immaculate forest in western Ireland, where, after finding shelter, she becomes trapped alongside three strangers, stalked by mysterious creatures each night..",Answer the following question:
Who are in the cast of The Watchers?,"The cast of 'The Watchers' includes Dakota Fanning, Georgina Campbell, Olwen Fouere, Oliver Finnegan, Alistair Brammer, John Lynch, Siobhan Hewlett, Hannah Dargan, Emily Dargan, Joel Figueroa.",Answer the following question:
Who directed The Watchers?,'The Watchers' was directed by Ishana Night Shyamalan.,Answer the following question:
What are the genres of The Watchers?,"The genres of 'The Watchers' are Fantasy, Mystery, Thriller, Horror.",Answer the following question:
Who is the lead actor in The Watchers?,The lead actor in 'The Watchers' is Dakota Fanning.,Answer the following question:
When was The Watchers released?,"'The Watchers' was released on June 06, 2024.",Answer the following question:
Who are the supporting actors in The Watchers?,"The supporting actors in 'The Watchers' are Georgina Campbell, Olwen Fouere, Oliver Finnegan, Alistair Brammer, John Lynch, Siobhan Hewlett, Hannah Dargan, Emily Dargan, Joel Figueroa.",Answer the following question:
What is the rating of The Watchers?,The rating of 'The Watchers' is 6.535.,Answer the following question:
What is the movie The Watchers about?,"The film titled 'The Watchers' was released on June 06, 2024. It falls under the genres of Fantasy, Mystery, Thriller, Horror. The film was directed by Ishana Night Shyamalan and stars Dakota Fanning, Georgina Campbell, Olwen Fouere, Oliver Finnegan, Alistair Brammer, John Lynch, Siobhan Hewlett, Hannah Dargan, Emily Dargan, Joel Figueroa. The lead actor is Dakota Fanning. Plot summary: A young artist gets stranded in an extensive, immaculate forest in western Ireland, where, after finding shelter, she becomes trapped alongside three strangers, stalked by mysterious creatures each night.. It has received a rating of 6.535.",Answer the following question:
What is the plot of Migration?,"The plot of 'Migration' is about After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica..",Answer the following question:
Who are in the cast of Migration?,"The cast of 'Migration' includes Kumail Nanjiani, Elizabeth Banks, Caspar Jennings, Tresi Gazal, Awkwafina, Carol Kane, Keegan-Michael Key, Danny DeVito, David Mitchell, Isabela Merced.",Answer the following question:
Who directed Migration?,'Migration' was directed by Benjamin Renner.,Answer the following question:
What are the genres of Migration?,"The genres of 'Migration' are Animation, Action, Adventure, Comedy, Family.",Answer the following question:
Who is the lead actor in Migration?,The lead actor in 'Migration' is Kumail Nanjiani.,Answer the following question:
When was Migration released?,"'Migration' was released on December 06, 2023.",Answer the following question:
Who are the supporting actors in Migration?,"The supporting actors in 'Migration' are Elizabeth Banks, Caspar Jennings, Tresi Gazal, Awkwafina, Carol Kane, Keegan-Michael Key, Danny DeVito, David Mitchell, Isabela Merced.",Answer the following question:
What is the rating of Migration?,The rating of 'Migration' is 7.464.,Answer the following question:
What is the movie Migration about?,"The film titled 'Migration' was released on December 06, 2023. It falls under the genres of Animation, Action, Adventure, Comedy, Family. The film was directed by Benjamin Renner and stars Kumail Nanjiani, Elizabeth Banks, Caspar Jennings, Tresi Gazal, Awkwafina, Carol Kane, Keegan-Michael Key, Danny DeVito, David Mitchell, Isabela Merced. The lead actor is Kumail Nanjiani. Plot summary: After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.. It has received a rating of 7.464.",Answer the following question:
What is the plot of Immaculate?,"The plot of 'Immaculate' is about An American nun embarks on a new journey when she joins a remote convent in the Italian countryside. However, her warm welcome quickly turns into a living nightmare when she discovers her new home harbours a sinister secret and unspeakable horrors..",Answer the following question:
Who are in the cast of Immaculate?,"The cast of 'Immaculate' includes Sydney Sweeney, Alvaro Morte, Benedetta Porcaroli, Dora Romano, Giorgio Colangeli, Simona Tabasco, Giampiero Judica, Niccolo Senni, Giulia Heathfield Di Renzi, Giampiero Judica.",Answer the following question:
Who directed Immaculate?,'Immaculate' was directed by Michael Mohan.,Answer the following question:
What are the genres of Immaculate?,"The genres of 'Immaculate' are Horror, Mystery, Thriller.",Answer the following question:
Who is the lead actor in Immaculate?,The lead actor in 'Immaculate' is Sydney Sweeney.,Answer the following question:
When was Immaculate released?,"'Immaculate' was released on March 20, 2024.",Answer the following question:
Who are the supporting actors in Immaculate?,"The supporting actors in 'Immaculate' are Alvaro Morte, Benedetta Porcaroli, Dora Romano, Giorgio Colangeli, Simona Tabasco, Giampiero Judica, Niccolo Senni, Giulia Heathfield Di Renzi, Giampiero Judica.",Answer the following question:
What is the rating of Immaculate?,The rating of 'Immaculate' is 6.315.,Answer the following question:
What is the movie Immaculate about?,"The film titled 'Immaculate' was released on March 20, 2024. It falls under the genres of Horror, Mystery, Thriller. The film was directed by Michael Mohan and stars Sydney Sweeney, Alvaro Morte, Benedetta Porcaroli, Dora Romano, Giorgio Colangeli, Simona Tabasco, Giampiero Judica, Niccolo Senni, Giulia Heathfield Di Renzi, Giampiero Judica. The lead actor is Sydney Sweeney. Plot summary: An American nun embarks on a new journey when she joins a remote convent in the Italian countryside. However, her warm welcome quickly turns into a living nightmare when she discovers her new home harbours a sinister secret and unspeakable horrors.. It has received a rating of 6.315.",Answer the following question:
What is the plot of Tarot?,"The plot of 'Tarot' is about When a group of friends recklessly violate the sacred rule of Tarot readings, they unknowingly unleash an unspeakable evil trapped within the cursed cards. One by one, they come face to face with fate and end up in a race against death..",Answer the following question:
Who are in the cast of Tarot?,"The cast of 'Tarot' includes Harriet Slater, Adain Bradley, Avantika, Jacob Batalon, Humberly Gonzalez, Wolfgang Novogratz, Larsen Thompson, Olwen Fouere, Suncica Milanovic, Alan Wells.",Answer the following question:
Who directed Tarot?,"'Tarot' was directed by Spenser Cohen, Anna Halberg.",Answer the following question:
What are the genres of Tarot?,The genres of 'Tarot' are Horror.,Answer the following question:
Who is the lead actor in Tarot?,The lead actor in 'Tarot' is Harriet Slater.,Answer the following question:
When was Tarot released?,"'Tarot' was released on May 01, 2024.",Answer the following question:
Who are the supporting actors in Tarot?,"The supporting actors in 'Tarot' are Adain Bradley, Avantika, Jacob Batalon, Humberly Gonzalez, Wolfgang Novogratz, Larsen Thompson, Olwen Fouere, Suncica Milanovic, Alan Wells.",Answer the following question:
What is the rating of Tarot?,The rating of 'Tarot' is 6.693.,Answer the following question:
What is the movie Tarot about?,"The film titled 'Tarot' was released on May 01, 2024. It falls under the genres of Horror. The film was directed by Spenser Cohen, Anna Halberg and stars Harriet Slater, Adain Bradley, Avantika, Jacob Batalon, Humberly Gonzalez, Wolfgang Novogratz, Larsen Thompson, Olwen Fouere, Suncica Milanovic, Alan Wells. The lead actor is Harriet Slater. Plot summary: When a group of friends recklessly violate the sacred rule of Tarot readings, they unknowingly unleash an unspeakable evil trapped within the cursed cards. One by one, they come face to face with fate and end up in a race against death.. It has received a rating of 6.693.",Answer the following question:
What is the plot of The Strangers: Chapter 1?,"The plot of 'The Strangers: Chapter 1' is about After their car breaks down in an eerie small town, a young couple are forced to spend the night in a remote cabin. Panic ensues as they are terrorized by three masked strangers who strike with no mercy and seemingly no motives..",Answer the following question:
Who are in the cast of The Strangers: Chapter 1?,"The cast of 'The Strangers: Chapter 1' includes Madelaine Petsch, Froy Gutierrez, Gabriel Basso, Ema Horvath, Richard Brake, Rachel Shenton, Ella Bruccoleri, George Young, Janis Ahern, Pedro Leandro.",Answer the following question:
Who directed The Strangers: Chapter 1?,'The Strangers: Chapter 1' was directed by Renny Harlin.,Answer the following question:
What are the genres of The Strangers: Chapter 1?,"The genres of 'The Strangers: Chapter 1' are Horror, Thriller.",Answer the following question:
Who is the lead actor in The Strangers: Chapter 1?,The lead actor in 'The Strangers: Chapter 1' is Madelaine Petsch.,Answer the following question:
When was The Strangers: Chapter 1 released?,"'The Strangers: Chapter 1' was released on May 15, 2024.",Answer the following question:
Who are the supporting actors in The Strangers: Chapter 1?,"The supporting actors in 'The Strangers: Chapter 1' are Froy Gutierrez, Gabriel Basso, Ema Horvath, Richard Brake, Rachel Shenton, Ella Bruccoleri, George Young, Janis Ahern, Pedro Leandro.",Answer the following question:
What is the rating of The Strangers: Chapter 1?,The rating of 'The Strangers: Chapter 1' is 5.8.,Answer the following question:
What is the movie The Strangers: Chapter 1 about?,"The film titled 'The Strangers: Chapter 1' was released on May 15, 2024. It falls under the genres of Horror, Thriller. The film was directed by Renny Harlin and stars Madelaine Petsch, Froy Gutierrez, Gabriel Basso, Ema Horvath, Richard Brake, Rachel Shenton, Ella Bruccoleri, George Young, Janis Ahern, Pedro Leandro. The lead actor is Madelaine Petsch. Plot summary: After their car breaks down in an eerie small town, a young couple are forced to spend the night in a remote cabin. Panic ensues as they are terrorized by three masked strangers who strike with no mercy and seemingly no motives.. It has received a rating of 5.8.",Answer the following question:
What is the plot of Atlas?,The plot of 'Atlas' is about A brilliant counterterrorism analyst with a deep distrust of AI discovers it might be her only hope when a mission to capture a renegade robot goes awry..,Answer the following question:
Who are in the cast of Atlas?,"The cast of 'Atlas' includes Jennifer Lopez, Simu Liu, Sterling K. Brown, Gregory James Cohan, Abraham Popoola, Lana Parrilla, Mark Strong, Briella Guiza, Adia Smith-Eriksson, Logan Hunt.",Answer the following question:
Who directed Atlas?,'Atlas' was directed by Brad Peyton.,Answer the following question:
What are the genres of Atlas?,"The genres of 'Atlas' are Science Fiction, Action.",Answer the following question:
Who is the lead actor in Atlas?,The lead actor in 'Atlas' is Jennifer Lopez.,Answer the following question:
When was Atlas released?,"'Atlas' was released on May 23, 2024.",Answer the following question:
Who are the supporting actors in Atlas?,"The supporting actors in 'Atlas' are Simu Liu, Sterling K. Brown, Gregory James Cohan, Abraham Popoola, Lana Parrilla, Mark Strong, Briella Guiza, Adia Smith-Eriksson, Logan Hunt.",Answer the following question:
What is the rating of Atlas?,The rating of 'Atlas' is 6.855.,Answer the following question:
What is the movie Atlas about?,"The film titled 'Atlas' was released on May 23, 2024. It falls under the genres of Science Fiction, Action. The film was directed by Brad Peyton and stars Jennifer Lopez, Simu Liu, Sterling K. Brown, Gregory James Cohan, Abraham Popoola, Lana Parrilla, Mark Strong, Briella Guiza, Adia Smith-Eriksson, Logan Hunt. The lead actor is Jennifer Lopez. Plot summary: A brilliant counterterrorism analyst with a deep distrust of AI discovers it might be her only hope when a mission to capture a renegade robot goes awry.. It has received a rating of 6.855.",Answer the following question:
"What is the plot of Run, Tiger Run!?","The plot of 'Run, Tiger Run!' is about The film follows a young boy who sets out on a mission to try and track down his long lost parents..",Answer the following question:
"Who are in the cast of Run, Tiger Run!?","The cast of 'Run, Tiger Run!' includes Nianci Shen, Dawei Liang, Liang Zou, Jianru Zhang, Lu Qi, Qimin Cao, Shi Chen, Sheng Dian, Sheng Dian, Xiaoyu Gao.",Answer the following question:
"Who directed Run, Tiger Run!?","'Run, Tiger Run!' was directed by Stanley Tsang, Joey Zou.",Answer the following question:
"What are the genres of Run, Tiger Run!?","The genres of 'Run, Tiger Run!' are Animation, Adventure, Comedy, Action, Family.",Answer the following question:
"Who is the lead actor in Run, Tiger Run!?","The lead actor in 'Run, Tiger Run!' is Nianci Shen.",Answer the following question:
"When was Run, Tiger Run! released?","'Run, Tiger Run!' was released on February 01, 2022.",Answer the following question:
"Who are the supporting actors in Run, Tiger Run!?","The supporting actors in 'Run, Tiger Run!' are Dawei Liang, Liang Zou, Jianru Zhang, Lu Qi, Qimin Cao, Shi Chen, Sheng Dian, Sheng Dian, Xiaoyu Gao.",Answer the following question:
"What is the rating of Run, Tiger Run!?","The rating of 'Run, Tiger Run!' is 7.222.",Answer the following question:
